fecha,variedad,colaborador,gramos,plantas,supervisor,sucursal,lote,motivo,maceta,variedad_mix,cliente,no_aplicacion,tipo
2025-11-24,MOZZARELLA,KEF,36,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-24,KANDY KUSH,KEF,37,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-24,KANDY KUSH,KEF,30,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-26,KANDY KUSH,LE,25,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-26,RED RED WINE,LE,8,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-26,BANANA LATTE,LE,25,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-26,AK-47,LE,25,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-26,KANDY KUSH,LE,32,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-26,RED RED WINE,LE,22,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-26,WEDDING CAKE,,-60,0,DRE,RP,L2 - RP,mix,,,,,Salida
2025-11-26,BANANA LATTE,LE,22,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-27,AK-47,NRQ,38,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-11-27,AK-47,KEF,47,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-11-27,AK-47,KEF,41,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-11-27,AK-47,KEF,36,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-11-27,AK-47,KEF,16,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-11-27,AK-47,NRQ,34,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-11-27,AK-47,NRQ,44,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-11-27,WEDDING CAKE,,-140,0,DRE,RP,L2 - RP,pre-rolls,,,,,Salida
2025-11-28,KANDY KUSH,LE,39,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-28,WEDDING CAKE,LE,57,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-11-28,KANDY KUSH,LE,22,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-28,KANDY KUSH,LE,47,1,DRE,RP,L2 - RP,trim,,,,,Entrada
2025-11-28,AK-47,LE,46,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-11-28,WEDDING CAKE,LE,81,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-11-28,WEDDING CAKE,LE,48,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-11-29,KANDY KUSH,,-125.0,0,DRE,SMB,L1 - SMB,venta,,,CHCH,,Salida
2025-11-29,KANDY KUSH,,-10.0,0,DRE,SMB,L1 - SMB,venta,,,DRE,,Salida
2025-11-29,WEDDING CAKE,,-15.0,0,DRE,SMB,L1 - SMB,venta,,,LALO,,Salida
2025-12-01,WEDDING CAKE,,-10.0,0,DRE,SMB,L1 - SMB,venta,,,DRE,,Salida
2025-12-01,RED RED WINE,LE,46,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-01,AK-47,LE,43,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-01,AK-47,NRQ,36,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-01,RED RED WINE,LE,47,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-01,AK-47,LE,45,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-01,AK-47,NRQ,33,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-03,BANANA LATTE,LE,55,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-03,AK-47,NRQ,36,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-03,BANANA LATTE,LE,63,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-03,AK-47,LE,36,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-03,BANANA LATTE,KEF,53,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-03,AK-47,KEF,39,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-03,AK-47,KEF,40,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-03,AK-47,NRQ,23,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-03,BANANA LATTE,LE,56,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-04,KANDY KUSH,,-10.0,0,DRE,SMB,L1 - SMB,venta,,,DRE,,Salida
2025-12-05,AK-47,LE,47,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-05,AK-47,LE,41,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-05,RED RED WINE,LE,54,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-06,MOZZARELLA,,-15.0,0,DRE,SMB,L1 - SMB,venta,,,LALO,,Salida
2025-12-07,KANDY KUSH,,-10.0,0,DRE,SMB,L1 - SMB,venta,,,DRE,,Salida
2025-12-09,AK-47,KEF,66,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-12-09,ORANGEL,KEF,74,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-12-09,AK-47,KEF,62,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-12-12,KANDY KUSH,CHCH,48,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,RED RED WINE,CHCH,47,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,RED RED WINE,KEF,55,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,KANDY KUSH,KEF,49,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,RED RED WINE,KEF,51,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,BANANA LATTE,CHCH,65,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,KANDY KUSH,CHCH,47,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,BANANA LATTE,CHCH,59,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,RED RED WINE,KEF,54,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,RED RED WINE,KEF,31,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,KANDY KUSH,CHCH,34,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,KANDY KUSH,,-10.0,0,DRE,FSM,L1 - FSM,venta,,,INTERNO,,Salida
2025-12-12,KANDY KUSH,KEF,40,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,BANANA LATTE,CHCH,61,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,KANDY KUSH,KEF,54,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-12,RED RED WINE,KEF,50,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-15,BANANA LATTE,LE,57,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-15,RED RED WINE,LE,50,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-15,AK-47,LE,30,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-15,RED RED WINE,LE,53,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-15,BANANA LATTE,LE,60,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-17,BANANA LATTE,CHCH,56,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-17,KANDY KUSH,KEF,42,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-17,AK-47,CHCH,43,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-17,BANANA LATTE,KEF,59,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-17,AK-47,CHCH,40,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-17,BANANA LATTE,CHCH,45,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-17,BANANA LATTE,KEF,57,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-17,BANANA LATTE,KEF,50,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-17,BANANA LATTE,CHCH,62,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-17,AK-47,KEF,43,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2025-12-18,KANDY KUSH,,-10.0,0,DRE,SMB,L1 - SMB,venta,,,DRE,,Salida
2025-12-19,MOZZARELLA,CHCH,27,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,MOZZARELLA,KEF,18,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,MOZZARELLA,CHCH,28,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,BANANA LATTE,CHCH,17,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,MOZZARELLA,KEF,19,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,KANDY KUSH,KEF,25,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,KANDY KUSH,CHCH,30,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,KANDY KUSH,CHCH,21,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,KANDY KUSH,CHCH,14,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,BANANA LATTE,CHCH,27,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,KANDY KUSH,CHCH,23,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,MOZZARELLA,KEF,34,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,MOZZARELLA,KEF,29,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-19,MOZZARELLA,KEF,29.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-20,KANDY KUSH,,-74.0,0,DRE,SMB,L1 - SMB,venta,,,CHCH,,Salida
2025-12-23,BANANA LATTE,,-206.0,0,DRE,FSM,L1 - FSM,mix,,,,,Salida
2025-12-23,MIX,,206.0,0,DRE,FSM,L1 - FSM,BANANA LATTE,,,,,Entrada
2025-12-27,WEDDING CAKE,,-10.0,0,DRE,SMB,L1 - SMB,venta,,,LALO,,Salida
2025-12-29,BANANA LATTE,NRQ,14,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-29,BANANA LATTE,CHCH,19.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-29,BANANA LATTE,CHCH,27.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-29,BANANA LATTE,CHCH,18.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-29,BANANA LATTE,AX,22,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-29,BANANA LATTE,CHCH,30.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-29,BANANA LATTE,AX,24,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-29,RED RED WINE,NRQ,10.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-29,MOZZARELLA,AX,21,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-29,WEDDING CAKE,CHCH,29.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-30,WEDDING CAKE,,-20.0,0,DRE,SMB,L1 - SMB,venta,,,LALO,,Salida
2025-12-30,KANDY KUSH,CHCH,0.0,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-12-30,BANANA LATTE,CHCH,0.0,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2026-01-02,BANANA LATTE,JR,18.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-02,BANANA LATTE,,-10.0,0,DRE,SMB,L1 - SMB,venta,,,DRE,,Salida
2026-01-02,RED RED WINE,,-453.0,0,DRE,FSM,L1 - FSM,venta,,,DRE,,Salida
2026-01-02,BANANA LATTE,,-49.0,0,DRE,SMB,L1 - SMB,venta,,,CHCH,,Salida
2026-01-02,WEDDING CAKE,,-15.0,0,DRE,FSM,L1 - FSM,venta,,,LALO,,Salida
2026-01-02,BANANA LATTE,,-4.0,0,DRE,SMB,L1 - SMB,venta,,,CHAYA,,Salida
2026-01-05,AK-47,,43.0,0,DRE,SMB,L2 - SMB,ajuste,,,,,Entrada
2026-01-02,RED RED WINE,JR,18.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-02,KANDY KUSH,JR,15.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-02,RED RED WINE,AX,20.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-02,AK-47,NRQ,29.0,1,DRE,FSM,L1 - FSM,trim,,,,,Entrada
2026-01-02,AK-47,JR,18.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-07,BANANA LATTE,JR,36.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-07,KANDY KUSH,JR,54.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-07,BANANA LATTE,JR,44.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-07,BANANA LATTE,JR,42.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-07,BANANA LATTE,NRQ,47.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-07,KANDY KUSH,NRQ,40.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-09,AK-47,JR,55.0,1,DRE,RP,L3 - RP,trim,,,,,Entrada
2026-01-09,AK-47,,-83.0,0,DRE,RP,L2 - RP,ajuste,,,,,Salida
2026-01-09,RED RED WINE,,-54.0,0,DRE,RP,L2 - RP,ajuste,,,,,Salida
2026-01-09,MICHAEL JORDAN,,-129.0,0,DRE,RP,L2 - RP,ajuste,,,,,Salida
2026-01-09,BANANA LATTE,,-111.0,0,DRE,RP,L2 - RP,ajuste,,,,,Salida
2026-01-09,KANDY KUSH,,-371.0,0,DRE,RP,L2 - RP,ajuste,,,,,Salida
2026-01-09,MOZZARELLA,,84.0,0,DRE,RP,L2 - RP,ajuste,,,,,Entrada
2026-01-09,WEDDING CAKE,,-19.0,0,DRE,RP,L2 - RP,ajuste,,,,,Salida
2026-01-10,AK-47,,-23.0,0,DRE,RP,L2 - RP,mix,,,,,Salida
2026-01-10,MIX,,23.0,0,DRE,RP,L2 - RP,mix,,AK-47,,,Entrada
2026-01-10,BANANA LATTE,,-22.0,0,DRE,RP,L2 - RP,mix,,,,,Salida
2026-01-10,MIX,,22.0,0,DRE,RP,L2 - RP,mix,,BANANA LATTE,,,Entrada
2026-01-10,MIX,,1824.0,0,DRE,RP,L1 - RP,ajuste,,MIX,,,Entrada
2026-01-10,WEDDING CAKE,,220.0,0,DRE,SMB,L1 - SMB,ajuste,,,,,Entrada
2026-01-08,WEDDING CAKE,,-26.0,0,DRE,SMB,L1 - SMB,mix,,,,,Salida
2026-01-08,MIX,,26.0,0,DRE,SMB,L1 - SMB,mix,,WEDDING CAKE,,,Entrada
2026-01-08,KOSHER KUSH,JR,63.0,1,DRE,SMB,L2 - SMB,trim,,,,,Entrada
2026-01-10,KOSHER KUSH,JR,30.0,1,DRE,SMB,L2 - SMB,trim,,,,,Entrada
2026-01-10,KOSHER KUSH,JR,53.0,1,DRE,SMB,L2 - SMB,trim,,,,,Entrada
2026-01-09,AK-47,JR,40.0,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2026-01-10,BANANA LATTE,,-20.0,0,DRE,SMB,L1 - SMB,ajuste,,,,,Salida
2026-01-11,KOSHER KUSH,,-15.0,0,DRE,SMB,L2 - SMB,venta,,,lalo,,Salida
2026-01-11,KANDY KUSH,,-10.0,0,DRE,SMB,L2 - SMB,venta,,,DRE,,Salida
2026-01-11,MOZZARELLA,,84.0,0,DRE,SMB,L1 - SMB,ajuste,,,,,Entrada
2026-01-11,RED RED WINE,,-8.0,0,DRE,SMB,L1 - SMB,ajuste,,,,,Salida
2026-01-05,MOZZARELLA,JR,32.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-05,KANDY KUSH,JR,35.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-05,BANANA LATTE,NRQ,14.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-05,RED RED WINE,NRQ,16.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-05,RED RED WINE,NRQ,20.0,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2025-12-30,KANDY KUSH,CHCH,0,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-12-30,BANANA LATTE,CHCH,0,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-12-30,KANDY KUSH,KEF,0,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-12-30,ORANGEL,KEF,0,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-12-30,AK-47,KEF,0,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2025-12-30,WEDDING CAKE,CHCH,0,1,DRE,SMB,L1 - SMB,trim,,,,,Entrada
2026-01-12,AK-47,,-102,0,DRE,RP,L2 - RP,ajuste,,,,,Salida
2026-01-12,RUNTZ,LE,140,0,DRE,RP,L2 - RP,ajuste,,,,,Entrada
2026-01-12,ORANGEL,LE,35,0,DRE,RP,L2 - RP,inventario,,,,,Entrada
2026-01-12,KOSHER KUSH,LE,33,0,DRE,RP,L2 - RP,inventario,,,,,Entrada
2026-01-12,WEDDING CAKE,,-4,0,DRE,FSM,L1 - FSM,ajuste,,,,,Salida
2026-01-12,BANANA LATTE,,56,0,DRE,FSM,L1 - FSM,ajuste,,,,,Entrada
2026-01-12,KANDY KUSH,,-73,0,DRE,FSM,L1 - FSM,ajuste,,,,,Salida
2026-01-12,RED RED WINE,,-21,0,DRE,FSM,L1 - FSM,ajuste,,,,,Salida
2026-01-12,MOZZARELLA,,-13,0,DRE,FSM,L1 - FSM,ajuste,,,,,Salida
2026-01-12,AK-47,,2,0,DRE,FSM,L1 - FSM,ajuste,,,,,Entrada
2026-01-12,KANDY KUSH,,247,0,DRE,SMB,L1 - SMB,ajuste,,,,,Entrada
2026-01-12,MIX,,25,0,DRE,SMB,L1 - SMB,ajuste,,MIX,,,Entrada
2026-01-12,AK-47,JR,53,1,DRE,RP,L3 - RP,trim,,,,,Entrada
2026-01-12,AK-47,JR,29,1,DRE,RP,L3 - RP,trim,,,,,Entrada
2026-01-14,BANANA LATTE,JR,41,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-14,BANANA LATTE,JR,53,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-14,BANANA LATTE,JR,45,1,DRE,FSM,L2 - FSM,trim,,,,,Entrada
2026-01-13,KANDY KUSH,JR,51,1,DRE,SMB,L2 - SMB,trim,,,,,Entrada
2026-01-13,WEDDING CAKE,JR,54,1,DRE,SMB,L2 - SMB,trim,,,,,Entrada
